,net,tr_loss,tr_acc,te_loss,te_acc
0,SiameseNet23,239.53626602888107,49.739583333333336,72.62594199180603,51.413690476190474
1,SiameseNet23,233.0566246509552,50.85565476190476,73.24467372894287,52.901785714285715
2,SiameseNet23,225.1466803252697,51.692708333333336,71.07228255271912,54.98511904761905
3,SiameseNet23,222.12779232859612,51.692708333333336,59.72974693775177,54.166666666666664
4,SiameseNet23,219.9904236793518,53.366815476190474,63.32045701146126,55.357142857142854
5,SiameseNet23,212.5524009168148,53.57142857142857,54.32396864891052,57.142857142857146
6,SiameseNet23,208.79791525006294,54.38988095238095,53.90565210580826,58.779761904761905
7,SiameseNet23,207.5186450779438,54.929315476190474,55.604072630405426,57.663690476190474
8,SiameseNet23,198.93808886408806,56.58482142857143,52.92345875501633,58.18452380952381
9,SiameseNet23,194.40517529845238,56.56622023809524,51.18219268321991,57.8125
10,SiameseNet23,198.30201402306557,57.273065476190474,53.63113835453987,59.226190476190474
11,SiameseNet23,193.0968227982521,57.645089285714285,51.189540684223175,61.532738095238095
12,SiameseNet23,190.56894266605377,57.626488095238095,49.510285794734955,59.82142857142857
13,SiameseNet23,189.24524718523026,57.84970238095238,50.47723150253296,61.23511904761905
14,SiameseNet23,185.17219975590706,59.07738095238095,48.3205848634243,60.49107142857143
15,SiameseNet23,183.04201611876488,58.742559523809526,50.52033579349518,61.75595238095238
16,SiameseNet23,184.46098226308823,58.89136904761905,46.170012414455414,63.31845238095238
17,SiameseNet23,177.00361388921738,60.825892857142854,49.81039845943451,62.79761904761905
18,SiameseNet23,180.39107358455658,60.305059523809526,46.58997544646263,63.24404761904762
19,SiameseNet23,177.37704372406006,60.546875,50.53656059503555,63.467261904761905
20,SiameseNet23,177.0981383919716,60.60267857142857,45.44091284275055,64.0625
21,SiameseNet23,170.6861160993576,62.332589285714285,45.12093564867973,65.69940476190476
22,SiameseNet23,172.45411106944084,61.64434523809524,47.81209722161293,66.5922619047619
23,SiameseNet23,169.19386035203934,62.686011904761905,44.81694692373276,65.17857142857143
24,SiameseNet23,162.58356600999832,64.09970238095238,47.42434746026993,65.32738095238095
25,SiameseNet23,159.85468319058418,63.467261904761905,52.18905612826347,66.36904761904762
26,SiameseNet23,162.96007403731346,63.132440476190474,45.3116238117218,71.05654761904762
27,SiameseNet23,157.7120979130268,65.08556547619048,43.90945827960968,69.49404761904762
28,SiameseNet23,159.26473540067673,64.67633928571429,41.85215339064598,69.79166666666667
29,SiameseNet23,153.25242388248444,65.56919642857143,42.85461300611496,70.9077380952381
30,SiameseNet23,152.40145462751389,65.55059523809524,37.945204362273216,70.98214285714286
31,SiameseNet23,150.92539417743683,65.95982142857143,41.861729115247726,71.05654761904762
32,SiameseNet23,151.72555261850357,65.56919642857143,43.29005065560341,71.80059523809524
33,SiameseNet23,146.73603335022926,67.28050595238095,42.090952917933464,71.80059523809524
34,SiameseNet23,146.45344185829163,67.26190476190476,40.40790939331055,71.20535714285714
35,SiameseNet23,145.76714253425598,68.26636904761905,38.76100192964077,73.95833333333333
36,SiameseNet23,140.91296246647835,69.49404761904762,36.82615187764168,73.51190476190476
37,SiameseNet23,141.45353296399117,68.24776785714286,36.40039983391762,74.55357142857143
38,SiameseNet23,136.55516728758812,69.88467261904762,34.92772877216339,74.92559523809524
39,SiameseNet23,137.64505046606064,70.33110119047619,42.630522936582565,74.85119047619048
40,SiameseNet23,134.55658549070358,70.1264880952381,37.88839074969292,75.29761904761905
