,net,tr_loss,tr_acc,te_loss,te_acc
0,SiameseNet13,399.58137476444244,50.42782738095238,50.183865666389465,55.208333333333336
1,SiameseNet13,302.14821806550026,58.64955357142857,8.964929200708866,98.36309523809524
2,SiameseNet13,91.56052883155644,85.546875,6.208953246474266,97.39583333333333
3,SiameseNet13,30.3469882052741,95.03348214285714,0.23143802746199071,100.0
4,SiameseNet13,17.4119416087633,96.875,0.22953735631745076,99.85119047619048
5,SiameseNet13,9.398252587154275,98.67931547619048,0.024007465017348295,100.0
6,SiameseNet13,5.482601822801371,99.06994047619048,0.019826891097181942,100.0
7,SiameseNet13,6.9652416906901635,99.06994047619048,0.00890680224802054,100.0
8,SiameseNet13,3.5403992913652473,99.44196428571429,0.00577224691187439,100.0
9,SiameseNet13,2.586646317793111,99.57217261904762,0.11812657484551892,100.0
